County,ZIP Code,Total Properties,Total Population,Median Income,Median Property Value,Total Insurer-Initiated Nonrenewals (2015 - 2021),Percent Total Nonrenewals Over Period to Total Properties (2015-2021),Absolute Change in Insurer-Initiated Nonrenewals (2015 - 2021),Percent Change in Insurer-Initiated Nonrenewals (2015 - 2021),Percent Nonrenewals of Total Properties (2021),2015_New,2015_Renewed,2015_Insured-Initiated Nonrenewed,2015_Insurer-Initiated Nonrenewed,2015_ins_owner_nr_ratio,2015_new_ins_nr_ratio,2021_New,2021_Renewed,2021_Insured-Initiated Nonrenewed,2021_Insurer-Initiated Nonrenewed,2021_ins_owner_nr_ratio,2021_new_ins_nr_ratio
Los Angeles,91354,"8,183","32,544","$59,133","$601,700","6,752",82.51,155,119.23,3.48,1285,7398,881,130,0.147559591373439,9.88461538461539,1302,7842,1088,285,0.261948529411765,4.56842105263158
Los Angeles,90046,"10,145","50,900","$44,823","$1,183,200","4,097",40.38,221,117.55,4.03,777,5044,639,188,0.294209702660407,4.13297872340426,1071,4934,726,409,0.5633608815427,2.61858190709046
Placer,95650,"5,676","14,808","$47,291","$637,700","3,047",53.68,108,117.39,3.52,516,3953,377,92,0.244031830238727,5.60869565217391,659,4077,468,200,0.427350427350427,3.295
Los Angeles,91302,"8,985","26,712","$52,527","$1,275,100","4,586",51.04,264,116.30,5.46,875,6073,701,227,0.323823109843081,3.85462555066079,1170,5735,670,491,0.732835820895522,2.38289205702648
San Diego,92071,"13,938","57,710","$36,573","$445,400","8,124",58.29,184,115.72,2.46,1327,12100,1020,159,0.155882352941176,8.34591194968554,1693,12625,1383,343,0.248011569052784,4.93586005830904
Orange,90631,"15,324","69,064","$32,387","$577,600","8,017",52.32,261,115.49,3.18,1422,12537,1105,226,0.204524886877828,6.29203539823009,1623,12360,1267,487,0.384372533543804,3.33264887063655
Calaveras,95249,"2,674","5,444","$19,074","$225,000",731,27.34,31,114.81,2.17,130,1112,94,27,0.287234042553192,4.81481481481482,159,1020,108,58,0.537037037037037,2.74137931034483
El Dorado,95623,"2,280","3,665","$40,297","$413,400",949,41.62,63,114.55,5.18,118,1437,104,55,0.528846153846154,2.14545454545455,220,1301,163,118,0.723926380368098,1.86440677966102
San Diego,92130,"14,074","56,134","$78,465","$1,064,700","9,773",69.44,240,114.29,3.20,1571,10870,1172,210,0.179180887372014,7.48095238095238,1976,11861,1675,450,0.26865671641791,4.39111111111111
San Diego,92069,"9,882","50,376","$29,952","$513,700","6,765",68.46,234,112.50,4.47,1085,9347,901,208,0.230854605993341,5.21634615384615,1263,8891,1051,442,0.420551855375833,2.85746606334842
San Diego,91906,"2,137","4,428","$29,178","$275,400",639,29.90,28,112.00,2.48,95,823,53,25,0.471698113207547,3.8,100,793,99,53,0.535353535353535,1.88679245283019
Contra Costa,94596,"6,819","21,700","$55,235","$1,029,400","2,295",33.66,51,110.87,1.42,304,4219,319,46,0.144200626959248,6.60869565217391,416,3917,377,97,0.257294429708223,4.28865979381443
Los Angeles,91340,"6,945","36,156","$25,002","$431,100","2,837",40.85,107,110.31,2.94,542,4801,401,97,0.241895261845387,5.58762886597938,651,5001,435,204,0.468965517241379,3.19117647058824
